id,title,link,duration,description,price,type,direction,tags
1,Графический дизайнер с нуля до PRO,https://contented.ru/edu/graphic-designer-pro?utm_source=skillfactory,17 месяцев,Освойте фундаментальную профессию в дизайне до продвинутого уровня,6110 ₽/мес,Специализация,Дизайн,"['Adobe Photoshop', 'Design & UX', 'Graphic Designer', 'Beginner']"
2,Тестировщик-автоматизатор на Python,https://skillfactory.ru/qa-engineer-python-testirovshchik-programmnogo-obespecheniya,9 месяцев,"Станьте тестировщиком-автоматизатором на Python — следите за качеством ПО в крупной IT-компании, стартапе или на фрилансе. Работайте из любой точки мира",3988 ₽/мес,Профессия,Программирование,"['Python', 'QA', 'QA Engineer', 'Intermediate']"
3,UX/UI-дизайнер с нуля до PRO,https://contented.ru/edu/ux-ui-designer-pro?utm_source=skillfactory,14 месяцев,Научитесь создавать понятные интерфейсы и станьте уверенным специалистом с опытом и портфолио из 12 работ,5883 ₽/мес,Профессия,Дизайн,"['Figma', 'Design & UX', 'UI/UX Designer', 'Beginner']"
4,«Белый» хакер,https://skillfactory.ru/cyber-security-etichnij-haker,13 месяцев,Научитесь обходить и взламывать системы безопасности компаний — в рамках закона. Выявляйте уязвимые места в защите и устраняйте их,4360 ₽/мес,Профессия,Программирование,"['Kali Linux', 'Cybersecurity', 'Cybersecurity Specialist', 'Intermediate']"
5,3D Artist,https://contented.ru/edu/3d-artist?utm_source=skillfactory,,Начните создавать 3D графику и анимацию для игр и рекламы на профессиональном уровне,5758 ₽/мес,Курс,Дизайн,"['Blender', 'Design & UX', '3D-дизайн', 'Intermediate']"
6,1С-программист,https://skillfactory.ru/1c-programmer,"9,5 месяцев",Хотите всегда иметь актуальную работу? Пройдите обучение программированию в 1С. Научитесь создавать и внедрять решения для бизнеса на платформе 1С,3529 ₽/мес,Профессия,Программирование,"['C#', 'Development', 'Backend Developer', 'Beginner']"
7,Дизайнер жилых и коммерческих интерьеров,https://contented.ru/edu/interior-designer-pro?utm_source=skillfactory,18 месяцев,"Научитесь создавать дизайн жилых и коммерческих пространств: квартир, кафе и офисов",6527 ₽/мес,Профессия,Дизайн,"['SketchUp', 'Design & UX', 'Интерьерный дизайн', 'Beginner']"
8,Java-разработчик,https://skillfactory.ru/java-razrabotchik,14 месяцев,"Станьте Java-разработчиком — освойте Java, Spring и основы DevOps и пишите десктопные и веб-приложения на топовом языке программирования",4419 ₽/мес,Профессия,Программирование,"['Java', 'Development', 'Backend Developer', 'Intermediate']"
9,Моушн-дизайнер с нуля до PRO,https://contented.ru/edu/motion-designer-pro?utm_source=skillfactory,18 месяцев,Научитесь создавать эффектную 2D- и 3D-анимацию и станьте специалистом в одной из самых востребованных сфер дизайна,6446 ₽/мес,Профессия,Дизайн,"['After Effects', 'Design & UX', 'Моушн-дизайн', 'Beginner']"
10,C++ разработчик,https://skillfactory.ru/c-plus-plus-razrabotchik,11 месяцев,"Станьте разработчиком на C++ и пишите надежный код, который легко поддерживать. Сразу после курса сможете занять позицию junior C++ developer",3724 ₽/мес,Профессия,Программирование,"['C++', 'Development', 'Backend Developer', 'Intermediate']"
11,Геймдизайнер,https://contented.ru/edu/game-designer?utm_source=skillfactory,9 месяцев,"Научитесь создавать игры, от которых будут в восторге тысячи геймеров и превратите хобби в работу с хорошим доходом",4294 ₽/мес,Профессия,Дизайн,"['Unity', 'Design & UX', 'Game Developer', 'Beginner']"
12,Python-разработчик,https://skillfactory.ru/python-developer,9 месяцев,"Станьте Python-разработчиком. Пишите на одном из самых популярных и востребованных языков. Освоить его несложно: синтаксис схож с английским, в сети много библиотек с готовым кодом",4393 ₽/мес,Профессия,Программирование,"['Python', 'Development', 'Backend Developer', 'Beginner']"
13,Python-разработчик PRO,https://skillfactory.ru/python-developer-pro,13 месяцев,Освойте Python с нуля и начните карьеру программиста. Темы уровня мидл в программе — быстрее растите до middle-разработчика и повышайте свою зарплату.,5390 ₽/мес,Профессия,Программирование,"['Python', 'Development', 'Backend Developer', 'Advanced']"
14,Веб-дизайнер,https://contented.ru/edu/web-designer?utm_source=skillfactory,6 месяцев,"Попробуйте 5 востребованных дизайн-направлений, а потом получите доступ к одному из них и освойте его до конца",3162 ₽/мес,Профессия,Дизайн,"['Figma', 'Design & UX', 'UI/UX Designer', 'Beginner']"
15,Аналитик данных,https://skillfactory.ru/data-analyst-pro,14 месяцев,"Станьте аналитиком данных с нуля, прокачайтесь в продуктовой или маркетинговой аналитике и помогайте бизнесу принимать выгодные решения",5141 ₽/мес,Профессия,Аналитика данных,"['SQL', 'Data & Analytics', 'Data Analyst', 'Beginner']"
16,Data Scientist,https://skillfactory.ru/data-scientist-pro,24 месяца,Освойте самую востребованную профессию 2024 года. Начните свой путь в Data Science уже сейчас,6050 ₽/мес,Профессия,Data Science,"['Python', 'Data & Analytics', 'Data Scientist', 'Intermediate']"
17,Data Scientist с нуля до PRO,https://skillfactory.ru/data-scientist-pro-mgu,25 месяцев,"Освойте профессию Data Scientist с нуля до уровня PRO на углубленном курсе, разработанном совместно с академиком РАН из МГУ. Изучите продвинутую математику с самых азов, получите реальный опыт на практических проектах и начните работать удаленно из любой точки мира.",6790 ₽/мес,Профессия,Data Science,"['Python', 'Data & Analytics', 'Machine Learning Engineer', 'Advanced']"
18,Коммерческий иллюстратор,https://contented.ru/edu/com-illustrator?utm_source=skillfactory,8 месяцев,"Погрузитесь в востребованные направления индустрии: веб-иллюстрация, книжная иллюстрация, брендинг и fashion-иллюстрация и найдите свой стиль",3448 ₽/мес,Профессия,Дизайн,"['Adobe Illustrator', 'Design & UX', 'Graphic Designer', 'Beginner']"
19,Системный администратор,https://skillfactory.ru/sistemnyj-administrator,9 месяцев,Станьте универсальным junior-специалистом по Linux с нуля или усильте свои IT-компетенции — отсюда вы можете развиваться в любом направлении,3631 ₽/мес,Профессия,Программирование,"['Linux', 'Development', 'System Administrator', 'Beginner']"
20,Fullstack-разработчик на Python,https://skillfactory.ru/python-fullstack-web-developer,16 месяцев,"Станьте fullstack-разработчиком. Создавайте как внутреннюю, серверную (backend), так и внешнюю, видимую пользователю (frontend) части сайта.",5002 ₽/мес,Профессия,Программирование,"['Python', 'Development', 'Fullstack Developer', 'Intermediate']"
21,Старт в дизайне,https://contented.ru/edu/design-start-proforientacia?utm_source=skillfactory,17 месяцев,"Это наиболее подходящий курс для построения карьеры в дизайне с нуля. Он разработан так, чтобы вы нашли профессию, которая раскроет ваш потенциал",6008 ₽/мес,Профессия,Дизайн,"['Figma', 'Design & UX', 'Graphic Designer', 'Beginner']"
22,Разработчик игр на Unity,https://skillfactory.ru/game-razrabotchik-na-unity-i-c-sharp,12 месяцев,"Станьте Unity-разработчиком — изучите основы программирования на C# и геймдизайн, работайте в штате геймдев-компаний или создавайте свои игры",4260 ₽/мес,Профессия,Программирование,"['Unity', 'Development', 'Game Developer', 'Beginner']"
23,Разработчик игр на Unity PRO,https://skillfactory.ru/game-developer-pro,18 месяцев,"Курс разработчик игр на Unity PRO. Для тех, кто не боится сложностей приключений: 5 игр в портфолио, основы геймдизайна, монетизация, C# и 3D-моделирование",5720 ₽/мес,Профессия,Программирование,"['Unity', 'Development', 'Game Developer', 'Advanced']"
24,Android-разработчик,https://skillfactory.ru/android-razrabotchik,16 месяцев,Станьте мобильным разработчиком в штате или на фрилансе — или запускайте с нуля собственные приложения и игры под Android,5082 ₽/мес,Профессия,Программирование,"['Kotlin', 'Development', 'Mobile Developer', 'Intermediate']"
25,JavaScript-разработчик,https://skillfactory.ru/javascript-developer,9 месяцев,"Погрузитесь в мир разработки сайтов — освойте JavaScript, React.js, верстку. Получите профессию мечты — разрабатывать красивые и полезные сайты.",2891 ₽/мес,Профессия,Программирование,"['JavaScript', 'Development', 'Frontend Developer', 'Beginner']"
26,Frontend-разработчик PRO,https://skillfactory.ru/frontend-razrabotchik-pro,14 месяцев,"Станьте прокачанным frontend-разработчиком — освойте с нуля HTML, CSS, JavaScript, TypeScript и React, создавайте адаптивные веб-сайты и анимацию на страницах, работайте в крупных компаниях",4344 ₽/мес,Профессия,Программирование,"['TypeScript', 'Development', 'Frontend Developer', 'Advanced']"
